ScientificName;CommonName;Description;RiskLevel;Reference
Undaria pinnatifida;Japanese kelp;U. pinnatifida is highly invasive  growing rapidly. Large distribution ranges  also Queensland mentioned as a possible area for invasion. However  currently distributed mainly in temperate waters  and colder temperatures may be needed at some point of the year for it to survive.;5;Australian Priority list
Eriocheir sinensis;Chinese mitten crab;E. sinensis has had significant impacts in freshwater and brackish environments. Also impacts infrastructure and industry including blocking of cooling systems of power plants as well as damage to local fisheries. Has the potential to harm human health  as it is an intermediate host for lung fluke and can bioaccumulate toxins and heavy metals Has wide temperature tolerances (reproductive temperature range is 9 to 30 °C).;5;Australian Priority list
Rhithropanopeus harrisii ’;Harris’ mud crab;It is known to affect prey species richness and diversity negatively  altering prey population size structure. Rhithropanopeus harrisii is native to the Atlantic coast of the Americas from New Brunswick to northeast Brazil. It is a highly successful invader  having established in 20 countries across 45 degrees of latitude. Has wide temperature tolerances (optimum temperature range 15 to 25 °C);5;Australian Priority list
Mytilopsis sallei;black-striped false mussel;M. sallei has serious impacts on biodiversity  by outcompeting and excluding native species and by modifying habitat through its dense settlement. Native to the tropical central Atlantic Ocean—the Caribbean Sea—and has become established in Fiji (!?);5;Australian Priority list
Perna Perna;Brown mussel;P. perna forms dense aggregations  where densities of 27 200 individuals per square metre have been recorded. Native to tropical and subtropical waters of Africa.;5;Australian Priority list
Perna viridis;Asian green mussel;The impacts of P. viridis include altered biodiversity by outcompeting or overgrowing native species  changes in community structure and trophic relationships and habitat modification. It Perna viridis is an invasive mussel  native to the Arabian Sea  China  India  Thailand  Malaysia and the Philippines.;5;Australian Priority list
Arcuatula senhousia;Asian bag mussel;Prefers intertidal to subtidal soft substrates (e.g. sediments).Tolerates wide variety of temperatures and salinities. Native to the waters of tropical and temperate Asia.;5;Australian Priority list
Magallana bilineata;Black Scar Oyster;The black scar oyster grows attached to hard objects in brackish shallow intertidal or subtidal waters at depths of 0 to 300 metres. Black scar oysters are found abundantly in the western Pacific Ocean  from the Philippines to Tonga and Fiji  and is an economically important species cultured extensively in the Philippines.;5;Australian Priority list
Didemnum perlucidum;White colonial sea squirt;Potential to be highly invasive due to its rapid reproductive output. Fast growing and can occupy disturbed habitats. Can overgrow native species.   Subtropical to tropical.;5;Australian Priority list
Sargassum horneri;Brown macroalga;;NA;Australian Priority list
Charybdis japonica;Asian paddle crab;;NA;Australian Priority list
Hemigrapsus takanoi;Takano’s shore crab;;NA;Australian Priority list
Petrolisthes elongatus;New Zealand porcelain crab;NZ + South AUS  not tropical;NA;Australian Priority list
Asterias amurensis;northern Pacific Seastar;An invasive starfish  native to China  North Korea  South Korea  Russia and Japan. A. amurensis is a generalist predator impacting soft sediment communities  particularly bivalve populations. The species has had significant impacts on aquaculture and recreational activities due to predation on native and commercially farmed shellfish. Prefers colder environments  possibly not a risk for tropical waters. ;5;Australian Priority list
Carcinus maenas;European green shore crab;C. maenas impacts a range of benthic bivalves. Native to Europe and North Africa. Mostly temperate distribution  possibly not a risk for tropical waters.;5;Australian Priority list
