scientificName_original	scientificNameAuthorship_original	identificationQualifier_original	vernacularName	taxonRemarks	riskLevel	references	taxonRank	AphiaID	scientificName	scientificNameAuthorship	AphiaID_accepted	scientificName_accepted	scientificNameAuthorship_accepted
Undaria pinnatifida			Japanese kelp	U. pinnatifida is highly invasive  growing rapidly. Large distribution ranges  also Queensland mentioned as a possible area for invasion. However  currently distributed mainly in temperate waters  and colder temperatures may be needed at some point of the year for it to survive.	5	Australian Priority list	species	145721	Undaria pinnatifida	(Harvey) Suringar, 1873	145721	Undaria pinnatifida	(Harvey) Suringar, 1873
Eriocheir sinensis			Chinese mitten crab	E. sinensis has had significant impacts in freshwater and brackish environments. Also impacts infrastructure and industry including blocking of cooling systems of power plants as well as damage to local fisheries. Has the potential to harm human health  as it is an intermediate host for lung fluke and can bioaccumulate toxins and heavy metals Has wide temperature tolerances (reproductive temperature range is 9 to 30 °C).	5	Australian Priority list	species	107451	Eriocheir sinensis	H. Milne Edwards, 1853	107451	Eriocheir sinensis	H. Milne Edwards, 1853
Rhithropanopeus harrisii			Harris mud crab	It is known to affect prey species richness and diversity negatively  altering prey population size structure. Rhithropanopeus harrisii is native to the Atlantic coast of the Americas from New Brunswick to northeast Brazil. It is a highly successful invader  having established in 20 countries across 45 degrees of latitude. Has wide temperature tolerances (optimum temperature range 15 to 25 °C)	5	Australian Priority list	species	107414	Rhithropanopeus harrisii	(Gould, 1841)	107414	Rhithropanopeus harrisii	(Gould, 1841)
Mytilopsis sallei			black-striped false mussel	M. sallei has serious impacts on biodiversity  by outcompeting and excluding native species and by modifying habitat through its dense settlement. Native to the tropical central Atlantic Oceanthe Caribbean Seaand has become established in Fiji (!?)	5	Australian Priority list	species	397147	Mytilopsis sallei	(Récluz, 1849)	397147	Mytilopsis sallei	(Récluz, 1849)
Perna perna			Brown mussel	P. perna forms dense aggregations  where densities of 27 200 individuals per square metre have been recorded. Native to tropical and subtropical waters of Africa.	5	Australian Priority list	species	140483	Perna perna	(Linnaeus, 1758)	140483	Perna perna	(Linnaeus, 1758)
Perna viridis			Asian green mussel	The impacts of P. viridis include altered biodiversity by outcompeting or overgrowing native species  changes in community structure and trophic relationships and habitat modification. It Perna viridis is an invasive mussel  native to the Arabian Sea  China  India  Thailand  Malaysia and the Philippines.	5	Australian Priority list	species	367822	Perna viridis	(Linnaeus, 1758)	367822	Perna viridis	(Linnaeus, 1758)
Arcuatula senhousia			Asian bag mussel	Prefers intertidal to subtidal soft substrates (e.g. sediments).Tolerates wide variety of temperatures and salinities. Native to the waters of tropical and temperate Asia.	5	Australian Priority list	species	505946	Arcuatula senhousia	(Benson, 1842)	505946	Arcuatula senhousia	(Benson, 1842)
Magallana bilineata			Black Scar Oyster	The black scar oyster grows attached to hard objects in brackish shallow intertidal or subtidal waters at depths of 0 to 300 metres. Black scar oysters are found abundantly in the western Pacific Ocean  from the Philippines to Tonga and Fiji  and is an economically important species cultured extensively in the Philippines.	5	Australian Priority list	species	836036	Magallana bilineata	(Röding, 1798)	836036	Magallana bilineata	(Röding, 1798)
Didemnum perlucidum			White colonial sea squirt	Potential to be highly invasive due to its rapid reproductive output. Fast growing and can occupy disturbed habitats. Can overgrow native species.   Subtropical to tropical.	5	Australian Priority list	species	212506	Didemnum perlucidum	Monniot F., 1983	212506	Didemnum perlucidum	Monniot F., 1983
Sargassum horneri			Brown macroalga			Australian Priority list	species	494853	Sargassum horneri	(Turner) C.Agardh, 1820	494853	Sargassum horneri	(Turner) C.Agardh, 1820
Charybdis japonica			Asian paddle crab			Australian Priority list	species	208836	Charybdis (Charybdis) japonica	(A. Milne-Edwards, 1861)	208836	Charybdis (Charybdis) japonica	(A. Milne-Edwards, 1861)
Hemigrapsus takanoi			Takanos shore crab			Australian Priority list	species	389288	Hemigrapsus takanoi	Asakura & Watanabe, 2005	389288	Hemigrapsus takanoi	Asakura & Watanabe, 2005
Petrolisthes elongatus			New Zealand porcelain crab	NZ + South AUS  not tropical		Australian Priority list	species	396708	Petrolisthes elongatus	(H. Milne Edwards, 1837)	396708	Petrolisthes elongatus	(H. Milne Edwards, 1837)
Asterias amurensis			northern Pacific Seastar	An invasive starfish  native to China  North Korea  South Korea  Russia and Japan. A. amurensis is a generalist predator impacting soft sediment communities  particularly bivalve populations. The species has had significant impacts on aquaculture and recreational activities due to predation on native and commercially farmed shellfish. Prefers colder environments  possibly not a risk for tropical waters.	5	Australian Priority list	species	254497	Asterias amurensis	Lutken, 1871	254497	Asterias amurensis	Lutken, 1871
Carcinus maenas			European green shore crab	C. maenas impacts a range of benthic bivalves. Native to Europe and North Africa. Mostly temperate distribution  possibly not a risk for tropical waters.	5	Australian Priority list	species	107381	Carcinus maenas	(Linnaeus, 1758)	107381	Carcinus maenas	(Linnaeus, 1758)
Perna canaliculus			New Zealand green-lipped mussel	native to New Zealand. Temperature tolerance of this species is between 10 °C and 19 °C  not a risk for Fiji.	5	Australian Priority list	species	397169	Perna canaliculus	(Gmelin, 1791)	397169	Perna canaliculus	(Gmelin, 1791)
Amathia verticillata			Spaghetti bryozoan	First described from the Mediterranean Sea and now widespread in tropical  subtropical  and warm-temperate waters. Established in Hawaii. Colonies of A. verticillata have had negative impacts by clogging shrimp fishing gear  fouling cultured pearl oysters  and overgrowing and killing eelgrass.	5	Hawaiian most impactful	species	851581	Amathia verticillata	(delle Chiaje, 1822)	851581	Amathia verticillata	(delle Chiaje, 1822)
